schedule,mdrm,caption
RCRI,RCFA2170,TOTAL ASSETS
RCRI,RCFA3128,ALLOCATED TRANSFER RISK RESERVES
RCRIB,RCFA3792,TOTAL RISK-BASED CAPITAL
RCRIB,RCFA5310,ALLL INCLUDIBLE IN TIER2 CAPITAL
RCRIB,RCFA5311,TIER 2 (SUPPLEMENTARY) CAPITAL
RCRIB,RCFA7204,TIER 1 LEVERAGE CAPITAL RATIO
RCRIB,RCFA7205,TOTAL RISK-BASED CAPITAL RATIO
RCRIB,RCFA7206,TIER 1 RISK-BASED CAPITAL RATIO
RCRIB,RCFA8274,TIER 1 CPTL ALLWBL UNDR RISK-BASED
RCRIB,RCFAA223,RISK-WEIGHTED ASSETS
RCRIB,RCFAA224,AVG TOT ASSET NET DEDUCTIONS
RCRIB,RCFAB530,ACCUMULATED OTH COMPREHENSIVE INCOME
RCRIB,RCFAB596,OTHR DEDUCT FR ASSETS FOR LEVRGE CAP
RCRI,RCFAH015,TOTAL LEVERAGE EXPOSURE
RCRI,RCFAH036,ADVANCED APPROACHES ONLY: SUPPLEMENT
RCRI,RCFAH311,CAPTIAL CONSERVATION BUFFER
RCRI,RCFAH313,ELIGIBLE RETAINED INCOME
RCRI,RCFAH314,DIST AND DISCRE BONUS PAYMENTS QTR
RCRI,RCFAJJ30,Amount of allowances for credit loss
RCRI,RCFAJJ31,Amount of allowances for credit loss
RCRI,RCFAJJ32,Amount of allowances for credit loss
RCRI,RCFAKW00,Retained Earning
RCRI,RCFAKW03,Average total consolidated asset
RCRI,RCFAKX77,Trading assets and trading liabiliti
RCRI,RCFAKX78,Trading assets and trading liabiliti
RCRI,RCFAKX79,Off-balance sheet exposures: Unused
RCRI,RCFAKX80,Off-balance sheet exposures: Securit
RCRI,RCFAKX81,Off-balance sheet exposures: Other o
RCRI,RCFAKX82,Total off-balance sheet exposures (s
RCRI,RCFAKX83,Total off-balance sheet exposures (s
RCRI,RCFALB58,Less: Investments in the capital of
RCRI,RCFALB59,"Less: MSAs, net of associated DTLs,"
RCRI,RCFALB60,LESS: DTAs arising from temporary di
RCRI,RCFALB61,Investments in the [Tier 2] capital
RCRIB,RCFAP742,COMMON EQUITY TIER 1 CAPITAL
RCRIB,RCFAP793,CAP RATIO COM EQTY TIER1 CAP RATIO
RCRIB,RCFAP839,COM EQTY TIER 1 MINORTY INTERST
RCRIB,RCFAP840,COM EQTY TIER 1 CAP BEFORE REG ADJ
RCRIB,RCFAP841,COM EQTY TIER 1 CAP ADJS AND DEDUDS
RCRIB,RCFAP842,LESS INTANG ASSTS NET OF ASSCTD DTLS
RCRIB,RCFAP843,DFRD TX ASSTS OPRTING LOSS TX CRDT
RCRI,RCFAP844,NT UNRLZD GNS (LSSES) AFS SECURITIES
RCRI,RCFAP845,NT UNRLZD LOSS ON AFS PRFRRD STK
RCRI,RCFAP846,ACC NT GN LS CSHFLW HDGS
RCRI,RCFAP847,AOCI ATTRBTD DEFND BENFT POSTETRMNT
RCRI,RCFAP848,NT UNRLZD GNS (LSSES) HTM SEC AOCI
RCRIB,RCFAP849,NET GNS (LSSES) HTM SEC AOCI
RCRIB,RCFAP850,OTH THRSHLD DEDS COMEQTY TIER1 CAP
RCRIB,RCFAP851,NNSG INVCP UNCNS COMSTK 10 PCT THRSH
RCRIB,RCFAP852,SUBTOT COMEQTY TIER1 CAP ADJ AN DEDS
RCRIB,RCFAP853,COMSTK 10PCT EQTY TIER1 CAP THRSHLD
RCRIB,RCFAP854,MSA DTL 10PCT EQTY TIER1 CAP THRS
RCRIB,RCFAP855,DTAS CAP CMSTK 15PCT TIER1 CAP THRSH
RCRIB,RCFAP856,MSA DTA 15PCT COMEQTY TIER1 CAPTHRES
RCRIB,RCFAP857,INSF TIER1 TIER2 CAP CVR DED
RCRIB,RCFAP858,ADJSTMNT DEDT  COM EQTY TIER1 CAP
RCRIB,RCFAP859,COM EQTY TIER 1 CAPITAL
RCRIB,RCFAP860,ADDITIONAL TIER 1 CAPITAL
RCRIB,RCFAP861,NNQFY CAP INSTR PHSOUT ADD TIER1 CAP
RCRIB,RCFAP862,TIER1 MNRTY INTR NOT EQTY TIER1 CAP
RCRIB,RCFAP863,ADD TIER 1 CAPITAL BEFORE DEDUCTIONS
RCRIB,RCFAP864,TOT ADDTNL TIER 1 CAP DEDUCTIONS
RCRIB,RCFAP865,ADDTNL TIER 1 CAPITAL
RCRIB,RCFAP866,TIER 2 CAP INSTRMNTS PLUS RLTD SRPLS
RCRIB,RCFAP867,NNQLIFY CAP INSTR PHSOUT TIER2 CAP
RCRIB,RCFAP868,CAP MNRTY INTRST NOT INCL TIER 1 CAP
RCRIB,RCFAP870,TIER 2 CAPITAL BEFORE DEDUCTIONS
RCRIB,RCFAP872,TOTAL TIER 2 CAPITAL DEDUCTIONS
RCRIB,RCFAP875,DEDS COMEQTY TIER1 CAP ADD TIER1 CAP
RCRIB,RCFAQ257,UNREALIZED GAINS ON A-F-S EQUITY SEC
RCRIB,RCFAQ258,CUMULATIVE CHANGE IN FAIR VALUE
RCRI,RCFAS540,UNCONDITIONALLY  OR OTHER AMOUNT
RCA,RCFD0010,CASH AND DUE FROM DEPOSITORIES
RCA,RCFD0022,CASH & CASH ITEMS IN PROCESS OF COLL
RCA,RCFD0070,BALANCES WITH BKS IN FGN COUNTRIES
RC,RCFD0071,INT-BEARING BALS DUE FRM DEP INSTS
RCA,RCFD0073,BAL WITH FGN BRCHS OF OTHER U.S. BKS
RCA,RCFD0074,BAL WITH OTHER BKS IN FGN COUNTRIES
RC,RCFD0081,NONINTEREST-BEARING BALS&CURR&COIN
RCA,RCFD0082,BALS DUE FROM DEPOSITORY INSTS IN US
RCA,RCFD0083,BALS DUE FR US BRNCHS&AGENC OF FGNBK
RCA,RCFD0085,BALS DUE FR OTH DEPOSITORY INSTS-US
RCA,RCFD0090,BALANCES WITH F. R. BKS (COML BK BOO
RCB,RCFD0211,US TREAS SECS-HLD-TO-MAT-AMRTZ COST
RCB,RCFD0213,US TREAS SECS-HLD-TO-MAT-FAIR VALUE
RCB,RCFD0416,PLEDGED SECURITIES-BOOK VLAUE
RC,RCFD0426,OTHER IDENTIFIABLE INTANGIBLE ASSETS
RCN,RCFD1248,"LNS SECD BY RE TO NONUS ADR,PAS DU30"
RCN,RCFD1249,"LNS SECD BY RE TO NONUS ADR,PAS DU90"
RCN,RCFD1250,"LNS SECD BY RE TO NONUS ADR,NONACCRL"
RCN,RCFD1251,"C&I LNS TO US ADDRS,PAS DU 30-89 DYS"
RCN,RCFD1252,"C&I LNS TO US ADDRS,PAS DU 90 DYS OR"
RCN,RCFD1253,"C&I LNS TO US ADDRS,NONACCRUAL"
RCN,RCFD1254,"C&I LNS TO NONUS ADR,PAS DU 30-89 DY"
RCN,RCFD1255,"C&I LNS TO NONUS ADR,PAS DU 90 DYS"
RCN,RCFD1256,"C&I LNS TO NONUS ADR,NONACCRUAL"
RCN,RCFD1257,"LSE FNC RECS OF US ADDRS,PAS DU 30"
RCN,RCFD1258,"LSE FIN RECS OF US ADDRS, PAST DUE 9"
RCN,RCFD1259,"LSE FIN RECS OF US ADDR,NONACCRUAL"
RCN,RCFD1271,LEASE FINAN REC OF NON-US P/D30-89DY
RCN,RCFD1272,"LSE FIN RECS OF NONUS ADR,PAS DU 90"
RCB,RCFD1286,US TREAS SECS-AVL-FOR-SLE-AMRTZ COST
RCB,RCFD1287,US TREAS SECS-AVL-FOR-SLE-FAIR VALUE
RCB,RCFD1289,US OBLGS ISSD BY US GOVT AGCS-AMRTZ
RCB,RCFD1290,US OBLGS ISSD BY US GOVT AGCS-FAIR
RCB,RCFD1291,US OBLGS ISSD BY US GOVT AGCS-AMRTZ
RCB,RCFD1293,US OBLGS ISSD BY US GOVT AGCS-FAIR
RCB,RCFD1294,US OBLGS ISSD BY US GOV SPON AGC-AMR
RCB,RCFD1295,US OBLGS ISSD BY US GOV SPON AGC-FAI
RCB,RCFD1297,US OBLGS ISSD BY US GOV SPON AGC-AMR
RCB,RCFD1298,US OBLGS ISSD BY US GOV SPON AGC-FAI
RC,RCFD1350,FED. FUNDS SOLD & SECURITIES RS.
RCR,RCFD1395,TIER 3 CPTL ALLOCATD FOR MARKET RISK
RCN,RCFD1403,"TOTAL, NONACCRUAL"
RCN,RCFD1406,"TOTAL, PAST DUE 30-89 DAYS, ACCRUING"
RCN,RCFD1407,"TOTAL, PAST DUE 90 OR MORE, ACCRUING"
RCCI,RCFD1410,"REAL ESTATE LOANS, TOTAL"
RCCI,RCFD1420,R.E. LOANS-FARMLAND
RCCI,RCFD1460,R.E. LOANS MULTI-FAMILY
RCCI,RCFD1545,LOANS FOR PURCHASING SECURITIES
RCCI,RCFD1563,OTHER LOANS
RCF,RCFD1578,REPOSSESSED PERSONAL PROPERTY
RCN,RCFD1583,"LOANS TO FARMERS, NONACCRUAL"
RCCI,RCFD1590,LOANS TO FINANCE AGRICULTURAL PROD
RCN,RCFD1594,"LN TO FRMERS,PAST 30-89 DYS, ACCRUIN"
RCN,RCFD1597,"LN TO FRMERS,PAST 90 OR MORE,ACCRUIN"
RCCI,RCFD1616,TOT LNS & LEASES RESTRUCTURED
RCR,RCFD1651,MARKET RISK EQUIVALENT ASSETS
RCN,RCFD1658,RESTRUCTURED LNS-PAST DUE 30-89 DAYS
RCN,RCFD1659,RESTRUCTURED LNS-PAST DUE 90 DAYS OR
RCN,RCFD1661,RESTRUCTURED LNS-NONACCRUAL
RCB,RCFD1698,MBS-PASS THRU-GNMA-HLD-TO-MAT-AMRTZ
RCB,RCFD1699,MBS-PASS THRU-GNMA-HLD-TO-MAT-FAIR
RCB,RCFD1701,MBS-PASS THRU-GNMA-AVL-FR-SALE-AMRTZ
RCB,RCFD1702,MBS-PASS THRU-GNMA-AVL-FR-SALE-FAIR
RCB,RCFD1703,MBS-PASS THRU-FNMA&FHLMC-HLD-AMRTZ
RCB,RCFD1705,MBS-PASS THRU-FNMA&FHLMC-HLD-FAIR VL
RCB,RCFD1706,MBS-PASS THRU-FNMA&FHLMC-AVL-AMRTZ
RCB,RCFD1707,MBS-PASS THRU-FNMA&FHLMC-AVL-FAIR VL
RCB,RCFD1709,OTHR PASS-THRU SECS-HLD-AMORTZD COST
RCB,RCFD1710,OTHR PASS-THRU SECS-HLD-FAIR VALUE
RCB,RCFD1711,OTHR PASS-THRU SECS-AVL-AMORTZD COST
RCB,RCFD1713,OTHR PASS-THRU SECS-AVL-FAIR VALUE
RCB,RCFD1714,MBS-CMOS&REMICS-FNMA&FHLMC-HLD-AMRTZ
RCB,RCFD1715,MBS-CMOS&REMICS-FNMA&FHLMC-HLD-FAIR
RCB,RCFD1716,MBS-CMOS&REMICS-FNMA&FHLMC-AVL-AMRTZ
RCB,RCFD1717,MBS-CMOS&REMICS-FNMA&FHLMC-AVL-FAIR
RCB,RCFD1718,OTHR MBS COLLATERLZ-HLD-AMORTZD COST
RCB,RCFD1719,OTHR MBS COLLATERLZ-HLD-FAIR VALUE
RCR,RCFD1727,MAX RECOURSE LOW LEVEL REC TRANS
RCB,RCFD1731,OTHR MBS COLLATERLZ-AVL AMORTZD COST
RCB,RCFD1732,OTHR MBS COLLATERLZ-AVL-FAIR VALUE
RCB,RCFD1733,MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ
RCB,RCFD1734,MBS-CMOS&REMICS-ALL OTHER-HLD-FAIR
RCB,RCFD1735,MBS-CMOS&REMICS-ALL OTHER-AVL-AMRTZ
RCB,RCFD1736,MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR
RCB,RCFD1737,OTHR DOMSTC DEBT SECS-HLD-TO-MAT-AMR
RCB,RCFD1738,OTHR DOMSTC DEBT SECS-HLD-TO-MAT-FAI
RCB,RCFD1739,OTHR DOMSTC DEBT SECS-AVL-FR-SLE-AMR
RCB,RCFD1741,OTHR DOMSTC DEBT SECS-AVL-FR-SLE-FAI
RCB,RCFD1742,FGN DEBT SECS-HELD-TO-MATR-AMRTZ COS
RCB,RCFD1743,FGN DEBT SECS-HELD-TO-MATR-FAIR VALU
RCB,RCFD1744,FGN DEBT SECS-AVL-FOR-SALE-AMRTZ COS
RCB,RCFD1746,FGN DEBT SECS-AVL-FOR-SALE-FAIR VALU
RCF,RCFD1752,HISTCL COST OF ALL OTH AVL-FOR-SALE
RC,RCFD1754,HELD-TO-MATURITY SECURITIES
RCCI,RCFD1763,"C&I LOANS, U.S. ADDRESSEES"
RCCI,RCFD1764,"C&I LOANS, NON-U.S. ADDRESSEES"
RCB,RCFD1771,TOTL SECS-HELD-TO-MATRTY-FAIR VALUE
RCB,RCFD1772,TOTL SECS-AVL-FOR-SALE-AMRTZ COST
RC,RCFD1773,AVAILABLE-FOR-SALE SECURITIES
RCB,RCFD1778,AMRTZ COST OF HLD-TO-MAT SECS SOLD
RCN,RCFD1791,"LSE FIN RECS OF NON-US ADRS,NONACCRL"
RCCI,RCFD1797,"REVOLVING, OPEN-END LNS SECD BY 1-4F"
RCCI,RCFD2011,OTH LOANS TO INDIVIDUALS
RCCI,RCFD2081,LNS TO FGN GOVTS & OFFICIAL INST
RCCI,RCFD2107,OBLGS OF ST&POLITICAL SUBDVS IN U.S.
RCCI,RCFD2122,TOT LNS&LEASE LESS UNEARN INC ON LNS
RCCI,RCFD2123,UNEARNED INCOME ON LOANS
RC,RCFD2130,INVEST. IN UNCONSOLIDATED SUBS & CO.
RC,RCFD2143,INTANGIBLE ASSETS
RC,RCFD2145,PREMISES&FIXED ASSETS(INCL CAP LSES)
RCF,RCFD2148,NET DEFERRED TAX ASSETS
RC,RCFD2150,OTHER REAL ESTATE OWNED
RC,RCFD2155,CUSTOMERS LIABILITY ON ACCEPTANCES
RC,RCFD2160,OTHER ASSETS
RCF,RCFD2166,PREPAID EXPENSES
RCF,RCFD2168,ALL OTHER ASSETS
RC,RCFD2170,TOTAL ASSETS
RCCI,RCFD2182,LEASE FINCG RECS-U.S. ADDRESSEES
RCCI,RCFD2183,LEASE FINCG RECS-NON-US ADDRESSEES
RCR,RCFD2221,UNREALIZED GAINS ON A-F-S EQUITY SEC
RCR,RCFD2243,ASSETS SOLD W/LOW-LEVEL RECOURSE
RCM,RCFD2651,FHLB ADVANCES MATURING <= 1 YEAR
RCS,RCFD2742,SECURITIZED LNS-CR CDS&RELATED PLANS
RCCI,RCFD2746,"LNS TO FINC COMMCL RE,CONSTRC&LD DEV"
RC,RCFD2800,FED. FUNDS PURCHASED & SECURITIES RP
RC,RCFD2920,ACCEPTANCES EXECUTED FOR ACCT. & OUT
RC,RCFD2930,"OTHER LIABILITIES, TOTAL"
RCG,RCFD2932,DIVIDENDS DECLARED BUT NOT YET PAYAB
RCG,RCFD2938,ALL OTHER LIABILITIES
RC,RCFD2948,TOTAL LIABILITIES
RC,RCFD3000,MINORITY INT. IN CONSOL. SUBSIDIARIE
RCG,RCFD3049,NET DEFERRED TAX LIABILITIES
RCG,RCFD3066,ACCOUNTS PAYABLE
RC,RCFD3123,ALLL_AMT
RCR,RCFD3128,ALLOCATED TRANSFER RISK RESERVES
RC,RCFD3163,GOODWILL
RCM,RCFD3164,MORTGAGE SERVICING ASSETS
RC,RCFD3190,OTHER BORROWED MONEY
RC,RCFD3200,SUBORDINATED NOTES AND DEBENTURES
RC,RCFD3210,TOTAL EQUITY CAPITAL
RC,RCFD3230,COMMON STOCK
RC,RCFD3300,"TOT LIAB, RESERVE & CAPITAL ACCOUNTS"
RCK,RCFD3353,QTLY AVG OF FED FUNDS PCHD&SEC RP
RCK,RCFD3355,QTLY AVG OF OTHER BORROWED MONEY
RCK,RCFD3365,QTLY AVG OF FED FUNDS SOLD&SEC RS
RCK,RCFD3368,QTLY AVG OF TOTAL ASSETS
RCK,RCFD3381,QTLY AVG-INT-BR BALS DUE FR DPS INST
RCK,RCFD3401,QTLY AVG OF ASSETS HELD IN TRDG ACCT
RCL,RCFD3411,COMMERCIAL LETTERS OF CREDIT
RCL,RCFD3428,PART IN ACCEPT CONV TO OTH BY AC BK
RCR,RCFD3429,PART IN ACCEPT ACQ BY NONACCEPT BK
RCL,RCFD3430,ALL OTHER OFF BALANCE SHEET LIABILIT
RCL,RCFD3432,COMMIT&CONTINGENCIES/SECURITIES BORR
RCL,RCFD3433,COMMIT&CONTINGENCIES/SECURITIES LENT
RCL,RCFD3434,WHEN-ISSUED SEC-GROSS COMMIT TO PURC
RCL,RCFD3435,WHEN-ISSUED SEC-GROSS COMMIT TO SELL
RCL,RCFD3450,NOTIONAL VALUE OF INT RATE SWAPS
RCK,RCFD3484,QUARTERLY AVGS OF LSE FINCG RECVBLS
RCN,RCFD3505,"OTH ASSETS-PAST DUE 30-89 DYS, ACCRG"
RCN,RCFD3506,"OTH ASSETS-PAST DUE 90DYS OR MOR,ACG"
RCN,RCFD3507,OTHER ASSETS-NONACCRUAL
RCN,RCFD3529,REPLMT COST OF CONTRCTS-PAS DU 30-89
RCN,RCFD3530,REPLMT COST OF CONTRCTS-PAS DU 90 DY
RCD,RCFD3531,TRDG ASSETS-US TREAS SECS IN DOM OFF
RCD,RCFD3532,TRDG ASSETS-US GOV AGC CORP OBLGS
RCD,RCFD3533,TRDG ASSETS-SECS ISSD BY ST  POL SUB
RCD,RCFD3534,"TRDG ASSETS-MBS-PASS-THRU-FNMA,FHLMC"
RCD,RCFD3535,"TRDG ASSETS-MBS-CMOS&REMICS-FNMA,ETC"
RCD,RCFD3536,TRDG ASSETS-MBS-ALL OTHER
RCD,RCFD3537,TRDG ASSETS-OTH DEBT SECS
RCD,RCFD3541,TRDG ASSETS-OTHER IN DOMESTIC OFFCS
RCD,RCFD3543,TRDG ASSETS-REVALUTN GAINS
RC,RCFD3545,TOTAL TRADING ASSETS
RCD,RCFD3546,TRDG LIABS-LIABILITY FOR SHORT POSTN
RCD,RCFD3547,TRDG LIABS-REVALUATN LOSS ON INT RTE
RC,RCFD3548,TRADING LIABILITES
RCF,RCFD3549,1ST ITM AMT FOR OTH AS OV25% OF 2160
RCF,RCFD3550,2ND ITM AMT FOR OTH AS OV25% OF 2160
RCF,RCFD3551,3RD ITM AMT FOR OTH AS OV25% OF 2160
RCG,RCFD3552,1ST ITM AMT FOR OTH LB OV25% OF 2930
RCG,RCFD3553,2ND ITM AMT FOR OTH LB OV25% OF 2930
RCG,RCFD3554,3RD ITM AMT FOR OTH LB OV25% OF 2930
RCL,RCFD3555,1ST CP OF OT OFF BALANCE SHEET LIABI
RCL,RCFD3556,2ND CP OF OT OFF BALANCE SHEET LIABI
RCL,RCFD3557,3RD CP OF OT OFF BALANCE SHEET LIABI
LEO,RCFD3561,NO. OF LOANS TO EXECUTIVE OFFICERS
LEO,RCFD3562,TOT DOLLAR AMT OF LNS TO EXEC OFFCRS
RC,RCFD3632,UNDIVIDED PROFITS & CAPITAL RESERVES
RCG,RCFD3646,OTHER EXPENSES ACCRUED & UNPAID
RC,RCFD3656,DIRECT INDIRECT INV IN RE
RCR,RCFD3792,TOTAL RISK-BASED CAPITAL
RCR,RCFD3809,INT RATE CONTRACTS-MAT 1 YR OR LESS
RCR,RCFD3812,FGN EXCHG RATE CONTRACTS-MAT 1 YR OR
RCL,RCFD3814,"UNUSED COMMITMENTS-REVOLVING, ETC."
RCL,RCFD3815,UNUSED COMMITMENTS-CREDIT CARD LINES
RCL,RCFD3816,COMMTMTS TO FUND LNS SECD BY RE
RCL,RCFD3817,UNUSED COMMITMENTS-SECS UNDERWRITING
RCL,RCFD3818,UNUSED COMMITMENTS-OTHER
RCL,RCFD3819,"FINCL STANDBY LETTERS OF CREDIT,ETC."
RCL,RCFD3820,AMT OF FINCL STANDBY LETTERS OF CR
RCL,RCFD3821,PERFORMANCE STANDBY LETTERS OF CR
RCL,RCFD3822,AMT OF PERFORMANCE STANDBY LETTERS
RCL,RCFD3826,NOTIONAL VALUE OF FGN EXCHG SWAPS
RCR,RCFD3833,UNUSED COMMITMENTS MAT EXCEED 1 YEAR
RC,RCFD3838,PERPETUAL PREFERRED STK&REL SURPLUS
RC,RCFD3839,SURPLUS
RCM,RCFD4088,IS CU WEB SITE INTERACTIVE?
RCR,RCFD4336,ACCMLTD NT GN(LOSS) ON CSH FLW HDGS
RCR,RCFD5306,QUALIFYING SUBORDINATED DEBT
RCR,RCFD5310,ALLL INCLUDIBLE IN TIER2 CAPITAL
RCR,RCFD5311,TIER 2 (SUPPLEMENTARY) CAPITAL
RCR,RCFD5320,TOTAL ASSETS (0% RISK-WEIGHT)
RCR,RCFD5327,TOTAL ASSETS (20% RISK-WEIGHT)
RCR,RCFD5334,TOTAL ASSETS (50% RISK-WEIGHT)
RCR,RCFD5339,ALL OTHER ASSETS (100% RISK-WEIGHT)
RCR,RCFD5340,TOTAL ASSETS (100% RISK-WEIGHT)
RCCI,RCFD5367,ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN
RCCI,RCFD5368,ALL OTH LNS SECD BY 1-4FMLY-JR LIENS
RC,RCFD5369,LOANS AND LEASES HELD FOR SALE
RCM,RCFD5372,DIRECT&INDIRECT INVEST IN RE VENTURE
RCM,RCFD5374,DIRECT&INDIRECT INVEST IN RE VENTURE
RCM,RCFD5375,ALL OTHR INVEST IN UNCONSLDTD SUBS
RCN,RCFD5377,"LNS TO US BKS,ETC.-PAST DU 30-89 DYS"
RCN,RCFD5378,"LNS TO US BKS,ETC.-PAST DU 90 DYS OR"
RCN,RCFD5379,"LNS TO US BKS,ETC.-NONACCRUAL"
RCN,RCFD5380,LNS TO FOREIGN BKS-PAST DU 30-89 DYS
RCN,RCFD5381,LNS TO FOREIGN BKS-PAST DU 90 DYS OR
RCN,RCFD5382,LNS TO FOREIGN BKS-NONACCRUAL
RCN,RCFD5389,"LNS TO FGN GOV,ETC.-PAS DU 30-89 DYS"
RCN,RCFD5390,"LNS TO FGN GOV,ETC.-PAS DU 90 DYS OR"
RCN,RCFD5391,"LNS TO FGN GOV,ETC.-NONACCRUAL"
RCN,RCFD5459,ALL OTHER LOANS-PAST DU 30-89 DAYS
RCN,RCFD5460,ALL OTHER LOANS-PAST DU 90 DYS OR MO
RCN,RCFD5461,ALL OTHER LOANS-NONACCRUAL
RCM,RCFD5507,ALL OTHR IDENTIFIABLE INTANGBL ASSET
RCL,RCFD5591,ALL OTHER OFF-BALANCE SHEET ASSETS
RCL,RCFD5592,1ST ITMZD&DESCRPTN LINE CPNT OF 5591
RCL,RCFD5593,2ND ITMZD&DESCRPTN LINE CPNT OF 5591
RCL,RCFD5594,3RD ITMZD&DESCRPTN LINE CPNT OF 5591
RCL,RCFD5595,4TH ITMZD&DESCRPTN LINE CPNT OF 5591
RCR,RCFD5610,DEFRD TAX ASSETS DISALWD FOR REGLTRY
RCN,RCFD5612,LNS&LEASES WHLY GUAR-PST DU 30-89 DY
RCN,RCFD5613,LNS&LEASES WHLY GUAR-PST DU 90DYS OR
RCN,RCFD5614,LNS&LEASES WHLY GUAR-NONACCRUAL
RCN,RCFD5615,GUAR PORTN OF LNS&LS-PST DU 30-89 DY
RCN,RCFD5616,GUAR PORTN OF LNS&LS-PST DU 90DYS OR
RCN,RCFD5617,GUAR PORTN OF LNS&LS-NONACCRUAL
RCM,RCFD6164,AGGREG AKT OF EXT OF CREDIT TO EXECS
RCM,RCFD6165,# OF EXEC OFFCRSEPRIN SHAREHOLDERS
RCL,RCFD6550,COMMITMTS TO FUND LNS NOT SECD BY RE
RCN,RCFD6558,"COMMCL RE,ETC.-PAST DUE 30-89 DYS,AG"
RCN,RCFD6559,"COMMCL RE,ETC.-PAST DUE 90DYS OR MOR"
RCN,RCFD6560,"COMMCL RE,ETC.-NONACCRUAL"
RC,RCFD6724,AUDIT INDICATOR
RCR,RCFD7204,TIER 1 LEVERAGE CAPITAL RATIO
RCR,RCFD7205,TOTAL RISK-BASED CAPITAL RATIO
RCR,RCFD7206,TIER 1 RISK-BASED CAPITAL RATIO
RCR,RCFD7273,TIER 1 LEVERAGE RATIO
RCR,RCFD7274,TIER 1 RISK-BASED CAPITAL RATIO
RCR,RCFD7275,TOTAL RISK-BASED CAPITAL RATIO
LEO,RCFD7701,RGE OF INT CHG ON LNS TO EXEC OFF-FR
LEO,RCFD7702,RGE OF INT CHG ON LNS TO EXEC OFF-TO
RCR,RCFD8274,TIER 1 CPTL ALLWBL UNDR RISK-BASED
RCR,RCFD8275,TIER 2 CPTL ALLWBL UNDR RISK-BASED
RCR,RCFD8434,NET UNRELZD HLDG GAINS(LOSS) ON AVL
RCB,RCFD8496,SECS ISSD BY US ST&POL SUBDYS-AMRTZ
RCB,RCFD8497,SECS ISSD BY US ST&POL SUBDYS-FAIR
RCB,RCFD8498,SECS ISSD BY US ST&POL SUBDYS-AMRTZ
RCB,RCFD8499,SECS ISSD BY US ST&POL SUBDYS-FAIR
RCL,RCFD8693,FUTURES INT RATE CONTRACTS-NOTIONAL
RCL,RCFD8694,FUTURES FGN EXCHG CONTRACTS-NOTIONAL
RCL,RCFD8695,FUTURES EQTY DERIVATIVE CONTRACTS
RCL,RCFD8696,FUTURES COMMODITY&OTHER CONTRACTS
RCL,RCFD8697,FORWARDS INT RATE CONTRACTS-NOTIONAL
RCL,RCFD8698,FORWARDS FGN EXCHG CONTRACTS-NOTIONL
RCL,RCFD8699,FORWARDS EQTY DERIVATIVE CONTRACTS
RCL,RCFD8700,FORWARDS COMMODITY&OTHER CONTRACTS
RCL,RCFD8701,WRITTEN INT RATE CONTRACTS-EXCHG TRD
RCL,RCFD8702,WRITTEN FGN EXCHG CONTRACTS-EXCH TRD
RCL,RCFD8703,WRITTEN EQTY DERIVATIVE CONTRACTS
RCL,RCFD8704,WRITTEN COMMODITY&OTHER CONTRACTS
RCL,RCFD8705,PURCHSD INT RATE CONTRACTS-EXCHG TRD
RCL,RCFD8706,PURCHSD FGN EXCHG CONTRACTS-EXCH TRD
RCL,RCFD8707,PURCHSD EQTY DERIVATIVE CONTRACTS
RCL,RCFD8708,PURCHSD COMMODITY&OTHER CONTRACTS
RCL,RCFD8709,WRITTEN INT RATE CONTRACTS-OTC
RCL,RCFD8710,WRITTEN FGN EXCHG CONTRACTS-OTC
RCL,RCFD8711,WRITTEN EQTY DERIVATIV CONTRACTS-OTC
RCL,RCFD8712,WRITTEN COMMODITY&OTHR CONTRACTS-OTC
RCL,RCFD8713,PURCHSD INT RATE CONTRACTS-OTC
RCL,RCFD8714,PURCHSD FGN EXCHG CONTRACTS-OTC
RCL,RCFD8715,PURCHSD EQTY DERIVATIV CONTRACTS-OTC
RCL,RCFD8716,PURCHSD COMMODITY&OTHR CONTRACTS-OTC
RCL,RCFD8719,NOTIONAL VALUE OF EQTY DERVTIV SWAPS
RCL,RCFD8720,NOTIONAL VALUE OF COMMODTY&OTH SWAPS
RCL,RCFD8723,TOTL EQTY DEV CONTRCS-HELD FOR TRDG
RCL,RCFD8724,TOTL CMDY&OTH CONTRCS-HELD FOR TRDG
RCL,RCFD8725,TOTL INT RATE CONTRCS-MKD TO MARKET
RCL,RCFD8726,TOTL FGN EXCH CONTRCS-MKD TO MARKET
RCL,RCFD8727,TOTL EQTY DEV CONTRCS-MKD TO MARKET
RCL,RCFD8728,TOTL CMDY&OTH CONTRCS-MKD TO MARKET
RCL,RCFD8733,GRS POSTV FAIR VALU OF INT RATE CNTR
RCL,RCFD8734,GRS POSTV FAIR VALU OF FGN EXCH CNTR
RCL,RCFD8735,GRS POSTV FAIR VALU OF EQTY DEV CNTR
RCL,RCFD8736,GRS POSTV FAIR VALU OF CMDY&OTH CNTR
RCL,RCFD8737,GRS NEGTV FAIR VALU OF INT RATE CNTR
RCL,RCFD8738,GRS NEGTV FAIR VALU OF FGN EXCH CNTR
RCL,RCFD8739,GRS NEGTV FAIR VALU OF EQTY DEV CNTR
